Category,Funding Classification,Funder,Scheme,Academic CI and PCI costs,Personnel Costs,Other costs allowable,Ineligible costs,Monash Contribution (cash or in kind),Indirect Costs Allowable?,Indirect Cost Rate (if specified),Max indirect cost applied in application,last checked,,,,,,,,,,,,,,,,
Cat 2,Commonwealth (other),CSIRO Data 61 ,Data61 pHd Scholarship,"pHd Stipend
Leave entitlements in line with: https://www.legislation.gov.au/Details/F2016L01602/Html/Text#_Toc461175998"," > 42,000 for years 1 and 2, increasing to $44,000 from year 3 for Students who are successful in receiving a university base stipend from an Australian university
> 10,000 Top up","learning and development expenses of up to $5,000","Not specified in guidelines - however given it is a stipend, assume no other costs are eligible.",,Not specified in guidelines,,0%,31-Mar,,,,,,,,,,,,,,,,
Category 3,International government (own purpose)/International government (other)/International government (own purpose) – USA Gov,European Commision,All Schemes,Total Salary,"They must be limited to salaries [additional OPTION for programmes with parental leave: (including net
payments during parental leave)], social security contributions, taxes and other costs linked to the
remuneration","> Travel, accommodation and subsistence (all Programmes except RFCS, CCEI)
> Equipment (All Programmes)
> Other goods, works or services, if necessary to implement the action, including
- costs for consumables and supplies (e.g. raw materials, office supplies)
− communication and dissemination costs 
− costs related to intellectual property rights (IPR) 
− costs for certificates on financial statements (CFS) and certificates on methodology
− costs for financial guarantees 

Refer to linked agreement for further detail and full list:  https://ec.europa.eu/info/funding-tenders/opportunities/docs/2021-2027/common/guidance/aga_en.pdf","(i) costs related to return on capital and dividends paid by a beneficiary
(ii) debt and debt service charges
(iii) provisions for future losses or debts
(iv) interest owed
(v) currency exchange losses
(vi) bank costs charged by the beneficiary’s bank for transfers from the granting authority
(vii) excessive or reckless expenditure
(viii)OPTION 1 for programmes with VAT eligible: deductible or refundable VAT (including
VAT paid by public bodies acting as public authority OR OPTION 2 for programmes with
VAT ineligible: VAT (always ineligible).
(ix) costs incurred or contributions for activities implemented during Grant Agreement suspension
(x) OPTION 1 by default: in-kind contributions by third parties OR OPTION 2 for programmes
with in-kind contributions eligible: in-kind contributions by third parties: not applicable


Refer to linked agreement for further detail and full list page 121:  https://ec.europa.eu/info/funding-tenders/opportunities/docs/2021-2027/common/guidance/aga_en.pdf",,"> 7% flat rate for indirect costs — most Programmes - except EDF) on categories A-D, except volunteers costs and exempted specific cost categories, if any
> 25% flat rate for indirect costs — HE, EDF) on categories A-D, except volunteers costs and exempted specific cost categories, if any.
> Other Programmes have higher(or lower) indirect cost flat-rates and variables for the pool of eligible costs (e.g. RFCS 35%, AGRIP 4%, SMP ESS 30% all on category A. Personnel costs, except volunteers costs)",,"7% (most) / 25% (HE, EDF) / up to 35% (RFCS)",23-Mar,changes the max indirect cost,,,,,,,,,,,,,,,
Category 3,International government (other),European Research Council ,"All Schemes under ERC Grant (HE - Horizon Europe and Euratom)
",Total Salary,Beneficiaries personnel costs,"subcontracting costs, purchase costs, other cost categories, and indirect costs. 
Refer to linked agreement for further detail and full list:  https://ec.europa.eu/info/funding-tenders/opportunities/docs/2021-2027/common/guidance/aga_en.pdf","As above (refer to European Commission)

Refer to linked agreement for further detail and full list page 121:  https://ec.europa.eu/info/funding-tenders/opportunities/docs/2021-2027/common/guidance/aga_en.pdf",,"As above

Starting Grant, Consolidator Grant and Synergy Grants -> 25% indirect costs flat rate.",,25%,23-Mar,,,,,,,,,,,,,,,,
Category 3,Australian not-for profit organisations,Cancer Council Victoria,Grant-in-Aid,Allowable for Chief Investigator A (CIA) only if CIA’s PhD (or MBBS) was awarded <13 years ago at EOI close date (adjusted for career interruptions). Salary on‑costs capped at 20%.,"Allowable for:
• CIA (subject to eligibility above)
• Second and onwards CIs (CIB, CIC, etc.) provided the salary is not for a group leader or head of laboratory
• Other research personnel (research assistants, etc.)
• Salary on‑costs capped at 20% of salary request

https://www.cancervic.org.au/downloads/research_grants/GIA2025/GIA2025_Guidelines%20for%20applicants.pdf","Allowable direct costs include:
• Equipment >$10,000 (essential to the research)
• Direct research costs: animal housing, consumables, software, participant recruitment, imaging/diagnostic fees, transcription, travel for data collection, cost recovery for research personnel (e.g., research assistant), specialised expertise (e.g., statistician support)
• Justified expenditure must be incurred between grant start and end dates, and most funding must be spent in Victoria (overseas/ interstate expenditure requires justification)
https://www.cancervic.org.au/downloads/research_grants/GIA2025/GIA2025_Guidelines%20for%20applicants.pdf","Explicitly not funded:
• Corporate and infrastructure overheads
• Facility, administrative, or other indirect research costs (utilities, regulatory/research compliance, research services administration)
• Dissemination costs (conference registration, article processing charges)

https://www.cancervic.org.au/downloads/research_grants/GIA2025/GIA2025_Guidelines%20for%20applicants.pdf",,Unallowable- see column H,,0%,31-Mar,,,,,,,,,,,,,,,,
Category 3,Australian not-for profit organisations,Cancer Council Victoria,Early‑Career Research Fellowship (formerly Postdoctoral Research Fellowship),"Allowable as salary support for the Fellow only. Salary capped at $120,000 per annum (FTE), plus on‑costs capped at 20% of salary. No salary for mentors, supervisors, group leaders, or head of department.","	Allowable for the Fellow’s salary. Direct research costs may include cost recovery for research personnel (e.g., research assistant) and specialised expertise (e.g., statistician support) with justification.

https://www.cancervic.org.au/downloads/research_grants/CRFV2026_Applicant_Documents/CRFV2026%20Guidelines%20for%20applicants.pdf","	Allowable direct research costs include: consumables, software, participant recruitment, equipment, imaging/diagnostic fees, transcription fees, remuneration and training for people with lived experience, travel for data collection.
Dissemination support (capped at $4,500 p.a., max $9,000 over two years) for economy travel, conference registration, and publication fees (e.g., article processing charges where no institutional agreement exists).

https://www.cancervic.org.au/downloads/research_grants/CRFV2026_Applicant_Documents/CRFV2026%20Guidelines%20for%20applicants.pdf","• Salary for mentors, supervisors, group leaders, head of laboratory or department
• Facility, administrative, or other indirect research costs (utilities, regulatory compliance, research services)
• Corporate services charges and infrastructure overheads
• Redistribution of grant funds to Cancer Council Victoria (except for Victorian Cancer Registry/Biobank cost recovery)

https://www.cancervic.org.au/downloads/research_grants/Postdoctoral_Fellowships/PDF2023_Applicant%20Guidelines.pdf
",,"Indirect costs, facility charges, infrastructure overheads, and corporate services charges are explicitly ineligible.",,0%,10-Apr,,,,,,,,,,,,,,,,
Category 3,Australian not-for profit organisations/Australian Philanthropy/Commonwealth (other),Ian Potter Foundation,All Schemes,Total Salaries ,Total Salaries ,"> Capital Equipment, Office supplies (e.g Stationary, postage, printing), Evaluation, Advertising and or promotion, Travel, Recurrent Expenditure, (These categories were taken from the budget template on the Ian PoTter Foundation Website: https://www.ianpotter.org.au/for-grantees/reporting/)",Does not provide funding for projects or items of equipment that might be funded internally or by a government agency such as the NH&MRC or the ARC,,"In the case of universities, the Foundation expects that overheads will be provided as an in-kind contribution.",,10%,?,,,,,,,,,,,,,,,,
Category 3,Australian philanthropy,Snow Medical Research Foundation Limited,Snow Fellowship,Not applicable – single fellow,"Fellow salary capped at $220,000/year (incl. on‑costs). Salaries for research team, technicians, laboratory/program manager allowed.","Equipment, consumables, travel for conferences (including Snow Medical events), open access publication costs, PhD top‑up scholarships (living costs only), research project costs.","> Retrospective Funding: will not fund research projects that have commenced prior to the commencement of the grant.
> Other Grant Funding: If an Applicant receives a component greater than 25% of their salary (the Salary Component) from another grant, Snow Medical will reduce the Fellowship funding for their salary equivalent to the Salary Component for the period they are in receipt of the Salary Component from the other grant.
>Do not provide funding for general office supplies and equipment.

Refer tp funding guidelines on page 10
https://snowmedical.org.au/wp-content/uploads/2023/07/Snow-Fellowship-Funding-Rules-2023-Round-1.2-19.07.23.pdf",,Unallowable,,0%,23-Mar,https://www.snowmedical.org.au/snow-fellowship/about-our-fellowship/snow-fellowship-application-documents-2025,,,,,,,,,,,,,,,
Category 3,International government (own purpose),International Development Research Centre,All Schemes,Allowable as direct personnel costs. Salaries for researchers (including Principal Investigators) are allowable if directly related to the Project. No specific cap mentioned; must be reasonable and actually paid. ,"All remuneration, allowances, and benefits paid to staff and advisors hired for a specific project

Refer to this link to the download the budget template with further information on the ""Personnel"" tab: https://idrc-crdi.ca/en/application-idrc-research-grant","> Consultant Expenses, Evaluation, equipment, International Travel, Training, Research costs (services and materials required to carry out the research), indirect costs.

Refer to the link to the budget template created by IDRC for further information on each of those expense categories: https://idrc-crdi.ca/en/application-idrc-research-grant
",Cannot be used to cover the cost of local taxes or import duties,,"Costs may include clerical, accounting, or secretarial help, general office expenses, office rental and utility charges, non-capital office furnishings, communications costs, and photocopying. IDRC expects the recipient to absorb the indirect or administrative costs of a project as part of its contribution to the project. Where the recipient contribution is covered under other budget categories, IDRC may consider a contribution towards indirect costs. The maximum contribution is up to 13% of all recipient-administered costs, including capital equipment, sub-recipients and sub-contractors administered cost. That maximum contribution may be shared between the proposing institution and the collaborating and must never exceed 13% in total.",,No applications with costing in Pure,10-Apr,,,,,,,,,,,,,,,,
Category 3,Australian for-profit organisations,CSL Limited/CSL Behring,CSL Centenary Fellowship,Full time Salary,intended to include at least fulltime salary for the primary fellow and potentially a research assistant inclusive of superannuation.,"It is expected that a portion of the fellowships monies will be expended on laboratory
consumables and equipment to support the nominated research project",Not specified in guidelines,,Not specified in guidelines,,0%,23-Mar,,,,,,,,,,,,,,,,
Category 2,Commonwealth (own purpose),"Department of Industry, Science and Resources (Australia)",CRC-P Grant,Total Salary + on-costs,"Salaries and on-costs for personnel directly employed for the project activities (this should be
calculated on a pro-rata basis relative to their time commitment using the formula detailed
below)","Contract expenses, capital expenses, IP & technology Expenses, Travel & overseas expenses, Audit expenses, Student expenses, eligible special purpose expenditure.

Refer to the full item list of  eligible expenditure items in attachment here in Appendix B for further details:  https://business.gov.au/-/media/grants-and-programs/crcp/round-15/crc-p-round-15-grant-opportunity-guidelines-pdf.pdf?sc_lang=en&hash=4342788609E393DD8B2733B08EAC304A
","non-project-related staff training and development costs, maintenance, financial costs, activities supported by other sources, depreciation.

Refer to the full item list of  eligible expenditure items in attachment here in Appendix E for further details:  https://business.gov.au/-/media/grants-and-programs/crcp/round-15/crc-p-round-15-grant-opportunity-guidelines-pdf.pdf?sc_lang=en&hash=4342788609E393DD8B2733B08EAC304A
",,"You may increase eligible salary costs by an additional 30 per cent allowance to cover on-costs such as employer paid superannuation, payroll tax, workers compensation insurance, and overheads such as office rent and the provision of computers.",,0%,23-Mar,salary in indirect costs?,,,,,,,,,,,,,,,
Category 3,Australian not-for profit organisations,Sylvia & Charles Viertel Charitable Foundation,Clinical Investigator Award,Unallowable,Unallowable,Only to be used for research costs not for applicants salary,"> Applicant salary
> Applicant cannot hold nationally competitive fellowship of 0.5 or greater
https://www.eqt.com.au/-/media/equitytrustees/files/philanthropy/forms-guides-reports/viertel-ci-awards-guidelines.pdf",,Not specified in guidelines,,0%,23-Mar,,,,,,,,,,,,,,,,
Category 3,Australian not-for profit organisations/Australian philanthropy,Sylvia & Charles Viertel Charitable Foundation,Senior Medical Research Fellowship,Fellow's salary,Research Assistant allowed,"Project costs. Expenditure under the grant must be in accordance with financial details shown in the formal letter of award.
https://www.eqt.com.au/-/media/equitytrustees/files/philanthropy/forms-guides-reports/viertel-smrf-fellowship-guidelines.pdf","Cannot concurrently hold another fellowship that provides salary. If on an NHMRC Investigator Grant - they must return 100% of salary component to NHMRC
https://www.eqt.com.au/-/media/equitytrustees/files/philanthropy/factsheet/fact-sheet-viertel-senior-medical-research-fellowship.pdf

Funding allocated for the Research Fellow's Salary may not be used for any other purpose.",,Not specified in guidelines,,0%,23-Mar,,,,,,,,,,,,,,,,
Category 3,"Australian philanthropy/Australian not-for profit organisations
",Cass Foundation,MEDICINE/SCIENCE GRANTS,Salaries includg on-cost,Research Assistant including on-costs allowable,"Evaluation, report and publication costs
Direct administration costs
 Consumable materials (such as chemicals, tests, animals)
Hire or rental of equipment, property, service, etc.
Miscellaneous contingencies (not exceeding 10% of the total budget).
https://www.cassfoundation.org/grants-and-awards/medicine-science-grants/med-sci-guidelines/","costs to attend conferences
CASS does not pay for any indirect administration costs.",,CASS does not pay for any indirect administration costs.,,37%,23-Mar,max indirect isn't 0?,,,,,,,,,,,,,,,
Category 3,0,NASA - National Aeronautics and Space Administration,Federal Grant (NASA Grant and Cooperative Agreement),"Salaries, wages & fringe benefits",Refer to left,"Other direct costs including, subcontracts, consultants, equipment, supplies, travel, facilities & administrative cost. (refer to this link for high level summary of cost category: Refer to link for further example; https://www.nasa.gov/wp-content/uploads/2023/09/grant-and-cooperative-agreement-manual-oct.-2022-0.pdf)

Refer to the link for detailed description of allowable:  https://www.ecfr.gov/current/title-2/subtitle-A/chapter-II/part-200/subpart-E
","Advisory council, alumni activities, certain audit costs, entertainment, capital expenditure, interest
Refer to the link for further detail: https://www.ecfr.gov/current/title-2/subtitle-A/chapter-II/part-200/subpart-E",,"Can only be charged to an award when:
> The recipient has a Negotiated Indirect Cost Rate Agreement (NICRA), or
>  If the recipient does not have a current Federally-negotiated indirect cost rate, it may elect to charge a de minimis rate of ten (10) percent of the modified total direct costs (MTDC). No documentation is required to justify the 10 percent de minimis indirect cost rate (see 2 CFR § 200.414, Indirect (F&A) costs, for more information)
> Award applicants may voluntarily choose to apply an overhead rate that is lower than their approved NICRA rate or the 10 percent de minimis rate.

Refer to the link for full description of indirect costs: 
https://www.nasa.gov/wp-content/uploads/2023/09/grant-and-cooperative-agreement-manual-oct.-2022-0.pdf",,43%,23-Mar,max indirect isn't 0?,,,,,,,,,,,,,,,
Category 3,Australian for-profit organisations,Woodside,Social Contributions Grant,Not specified in guidelines,Not specified in guidelines,Not specified in guidelines,"Travel, indirect fundraising activities

Refer to the link below: 
https://www.woodside.com/docs/default-source/stronger-communities-documents/social-contribution-guidance.pdf?sfvrsn=e8b1be51_29",,Not specified in guidelines,,53%,23-Mar,Not 0%?,,,,,,,,,,,,,,,
Category 3,"International government (other)/ International government (own purpose)
",Canadian Institutes of Health Research,All Grants,Salary/Stipend Allowed,"Includes benefits.

For Research Trainees who are compensated with a stipend, benefits are not permitted.
For Trainees who are paid as Research Assistants (usually hourly rate plus benefit imposed by the Institution), benefits are permitted.

Refer to link below for full guidelines: https://www.nserc-crsng.gc.ca/InterAgency-Interorganismes/TAFA-AFTO/guide-guide_eng.asp#12","Travel, hospitality in the context of networking purposes or activities in atherings that facilitate the objective, expendables and services (e.g., number and cost of animals, nature and amounts of reagents, number of subjects, number and cost of printing survey instruments, etc.), maintenance and/or equipment items.

Refer to https://cihr-irsc.gc.ca/e/50454.html#t4 AND https://www.nserc-crsng.gc.ca/InterAgency-Interorganismes/TAFA-AFTO/guide-guide_eng.asp#11
",Consulting fees to grant recipients who conduct research independetly,,"Agency funds may be used to cover a portion of the indirect costs of grant activities only when explicitly permitted by the program/funding opportunity and any relevant agency agreements, as well as this guide.",,No applications with costing in Pure,13-Apr,,,,,,,,,,,,,,,,
Category 2,Commonwealth (other),Australian Centre for International Agricultural Research (ACIAR),Research Projects,Total Personnel cost  ,"Includes on-costs - this should not exceed 28% for Australian institutions). such as payroll tax, workers compensation, superannuation, holiday pay and long service leave (described below) will be supported where these represent actual costs of the research provider. Expenditure on general administrative overheads should not be included. 

Refer to Guidelines: https://www.aciar.gov.au/sites/default/files/2020-08/research-budget-guidelines-for-project-teams.pdf","Travel, infrastructure (overhead), Capital (over 2,000), operating expenses such as lab & field consumables, materials.

For Australian research providers and IARCs, ACIAR will normally fund the depreciation cost
of equipment assets for the period that they are used by the ACIAR-funded project work

Refer to the guide for expenses that can be included: https://www.aciar.gov.au/sites/default/files/2020-08/research-budget-guidelines-for-project-teams.pdf

See example budget (PRELIM): https://www.aciar.gov.au/sites/default/files/2020-08/aciar-research-budget-example-prelim.pdf

See example budget (FULL): https://www.aciar.gov.au/sites/default/files/2020-08/aciar-research-budget-example-full.pdf",Not mentioned in the guidelines,"Not required. However, ACIAR encourages co‑funding contributions from other agencies or partners","ACIAR’s policy on this is firm, with a limit of 13% for the Commissioned Organisation, 5% for Australian collaborating organisations and 5% for the overseas collaborating organisations. This percentage is applicable and calculated on the total budget approved for Personnel, Research Operating, and Travel, but excludes Capital Items.","13% (Commissioned Organisation), 5% (Australian collaborating organisations), 5% (overseas collaborating organisations)",0%,13-Apr,,,,,,,,,,,,,,,,
